10-07-2023|1001|admin|500|Deposit
10-07-2023|1001|admin|200|Deposit
10-07-2023|1001|0|5000|Deposit
10-07-2023|1001|0|500|Withdraw
10-07-2023|1001|0|200|Withdraw
10-07-2023|1001|1002|200|Transfer
07-08-2023|1001|0|100|Deposit
08-08-2023|1002|0|1000|Deposit
08-08-2023|1002|0|100|Deposit
08-08-2023|1002|1001|500|Transfer
08-08-2023|1012|0|100|Deposit
08-08-2023|1012|0|100|Withdraw
08-08-2023|1012|1001|50|Transfer
08-08-2023|1012|1001|100|Transfer
08-08-2023|1012|1001|101|Transfer
08-08-2023|1012|1001|100|Transfer
08-08-2023|1012|0|10|Withdraw
08-08-2023|1012|0|1000|Withdraw
08-08-2023|1012|0|1000|Withdraw
08-08-2023|1012|0|100|Withdraw
08-08-2023|1012|0|100|Withdraw
08-08-2023|1012|0|100|Withdraw
08-08-2023|1012|0|1000|Deposit
